baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.28233675006	5.82559985702552	0.143008494483593	40.7360407370339	0	0
ENSMUSG00000025608.9	4401.74797188427	8.31235215526231	0.197513264669698	42.0850324618099	0	0
ENSMUSG00000045545.8	4088.38487322977	9.12451174164478	0.238752973695357	38.2173742191268	0	0
ENSMUSG00000047586.4	2409.01415530367	7.42306981429807	0.196912904140243	37.6972237889057	0	0
ENSMUSG00000054889.10	6835.429627958	4.65307539743758	0.114963148773679	40.4744950627424	0	0
ENSMUSG00000097767.8	4106.85503367178	6.59509648866563	0.151467955371096	43.5411996716248	0	0
ENSMUSG00000020758.15	6336.81294517335	4.25989912577176	0.114959875491283	37.0555300931478	1.46292338356849e-300	4.32314758749969e-297
ENSMUSG00000030693.10	1240.49584613214	5.46818468811094	0.148323978734677	36.8664914112942	1.59177431993444e-297	4.11593044777048e-294
ENSMUSG00000053797.10	2357.55655693172	7.9791626486354	0.21748993553005	36.6875029375001	1.15559149909961e-294	2.65606286115272e-291
ENSMUSG00000024406.16	2300.6125526244	4.48203213869786	0.123018876837604	36.4336941932458	1.2468288279128e-290	2.57919011342041e-287
ENSMUSG00000037820.15	3906.60633877677	4.02398215110801	0.110663959436471	36.3621740230438	1.68736263052628e-289	3.17316212500605e-286
ENSMUSG00000047281.3	1063.72862263013	5.25843592653699	0.14959028211485	35.1522562307876	1.07371892573897e-270	1.85091247481969e-267
ENSMUSG00000056602.12	1176.51666247662	5.38990956466763	0.153503600041846	35.1125938622827	4.33053270027755e-270	6.89087687984164e-267
ENSMUSG00000027375.14	3835.61310730729	5.76200929584513	0.164606812216509	35.0046830884878	1.90941746282878e-268	2.82130068829116e-265
ENSMUSG00000037185.9	1422.70977468094	4.99091283613781	0.143871573086509	34.6900553672044	1.11275074479871e-263	1.5345574604604e-260
ENSMUSG00000026413.12	1670.25269845343	5.50801274695187	0.162362490479584	33.9241701127051	2.93291959881669e-252	3.79189842632013e-249
ENSMUSG00000031995.9	1272.10448093634	6.00958202423327	0.18017266661874	33.3545711289828	6.25369236122695e-244	7.60964001084357e-241
ENSMUSG00000019102.10	4252.20687915294	3.75666151553821	0.11739168185211	32.0010877795485	1.05307654398128e-224	1.21021896604427e-221
ENSMUSG00000034282.3	1267.21820823715	6.8403715653193	0.216718872125383	31.5633405537557	1.17648109781424e-218	1.28087831523081e-215
ENSMUSG00000074796.10	890.97782191198	4.27576151355392	0.135811108046576	31.4831502007004	1.47748556618551e-217	1.52816332110568e-214
ENSMUSG00000028435.8	1000.62242957061	6.25351064849981	0.200050833718854	31.2596080318681	1.65288764074039e-214	1.62817303506456e-211
ENSMUSG00000042793.13	993.613735094843	4.19109801562243	0.135031966988488	31.0378209626446	1.66571815454672e-211	1.56622935204334e-208
ENSMUSG00000049382.10	5899.50747635691	10.8668983910738	0.354163067568253	30.6833190306598	9.50208272048038e-207	8.54609057199379e-204
ENSMUSG00000063450.14	2006.19523891987	3.455889177709	0.113609756903688	30.4189470332086	3.08536429686668e-203	2.65932691020767e-200
ENSMUSG00000022871.13	1099.84386583852	6.65658033287831	0.221674726491056	30.028593869256	4.15609604544591e-198	3.43892011184377e-195
ENSMUSG00000020788.15	2105.0567915737	8.81871302335475	0.298924308571542	29.501491750525	2.7548613898677e-191	2.19181010426166e-188
ENSMUSG00000025432.11	1237.66092183823	6.45500199053114	0.218917429234317	29.4860122061002	4.35115190071484e-191	3.33362697104397e-188
ENSMUSG00000061126.5	1586.39700205738	8.12867687221214	0.276576548100228	29.3903330851697	7.29884939815705e-190	5.39228566608131e-187
ENSMUSG00000003153.10	1022.23694830262	4.7530984766599	0.169223465132154	28.0877032800859	1.38444109974777e-173	9.87536158254567e-171
ENSMUSG00000060716.7	840.111771142881	6.73493871581512	0.239866032812466	28.0779176478092	1.82294286639759e-173	1.25697987114335e-170
ENSMUSG00000040703.11	1371.2326083694	7.27386966298499	0.26102933501911	27.8661004229754	6.87429139604329e-171	4.58714812317908e-168
ENSMUSG00000048699.4	2458.74819388717	9.60299563801512	0.347621509687082	27.6248602874414	5.59587150851286e-168	3.61738118828428e-165
ENSMUSG00000038295.14	631.297612721278	5.23894283518097	0.191094695037013	27.4154279069142	1.79584080329743e-165	1.12572008657608e-162
ENSMUSG00000012350.15	1200.73919005265	7.68157720529952	0.282775755749599	27.1649073483571	1.68813022923205e-162	1.02707829182042e-159
ENSMUSG00000024421.16	651.454594614763	5.80232090354007	0.215268218932882	26.9539132729535	5.13255168128371e-160	3.03348468797242e-157
ENSMUSG00000048373.8	879.046938086967	7.22974697369302	0.279667131123127	25.8512573310234	2.35517368353501e-147	1.3533089671557e-144
ENSMUSG00000024331.11	731.930983893184	5.56469628334102	0.220072884780566	25.2856970039247	4.58905166151628e-141	2.56565196405745e-138
ENSMUSG00000031297.14	803.338929120902	3.90837559681968	0.154656212251315	25.2713779803984	6.59427637420124e-141	3.5897158178086e-138
ENSMUSG00000043439.5	659.540871137772	5.17609614779419	0.205104205947196	25.2364212810281	1.59646186145982e-140	8.46779745286098e-138
ENSMUSG00000018166.8	696.99460368879	6.81100356496742	0.270554253111901	25.1742616744243	7.66759020105303e-140	3.96529427247457e-137
ENSMUSG00000074227.12	750.592575779474	3.91043684014393	0.156146532075501	25.043379370431	2.06128316258284e-138	1.03999276832167e-135
ENSMUSG00000115388.2	609.430572873782	6.5025678956979	0.260721317628891	24.9406836189499	2.69504563567893e-137	1.32737414332511e-134
ENSMUSG00000020911.14	1699.5528438455	3.62489012075363	0.145393671033596	24.9315537257191	3.385305663732e-137	1.62856820837116e-134
ENSMUSG00000018849.6	1056.26906658444	3.63319223033563	0.146186983793621	24.8530487191991	2.39689241022629e-136	1.12686628177139e-133
ENSMUSG00000074272.10	525.097829982521	4.94696450212258	0.199684839045626	24.7738612794347	1.71546293890107e-135	7.88579252313502e-133
ENSMUSG00000022123.9	552.679885730424	4.73719281493178	0.194188976686229	24.3947565704831	1.94398535324412e-131	8.55601723770382e-129
ENSMUSG00000022218.16	1164.86456249752	8.52455682815669	0.349431853421442	24.395477243099	1.91005079459711e-131	8.55601723770382e-129
ENSMUSG00000030494.13	525.787604261958	5.76757395301431	0.236660663488408	24.3706489621027	3.50270049308641e-131	1.50951796666636e-128
ENSMUSG00000026479.13	663.232605126212	3.25907935907022	0.13522050974014	24.1019603115929	2.38416232169254e-128	1.00650575074555e-125
ENSMUSG00000035557.9	5639.06988526492	11.8802569545408	0.493677973600747	24.0647903893496	5.84486286506102e-128	2.41813666453305e-125
ENSMUSG00000019866.15	1632.60555940139	2.94422881349017	0.12267757413004	23.9997312823388	2.79880721967351e-127	1.13521815972875e-124
ENSMUSG00000038807.19	1117.20287921999	2.96436902555009	0.124613009212874	23.7885999565753	4.38257077461756e-125	1.74342036622575e-122
ENSMUSG00000026639.18	426.225881632273	4.30177150141278	0.181535317155749	23.6966093915601	3.90792633840418e-124	1.52527102332507e-121
ENSMUSG00000029019.8	418.75952997398	5.4566420302591	0.230882138173599	23.6338855548725	1.72881809230663e-123	6.62265389952871e-121
ENSMUSG00000056413.16	486.377422482267	5.93789436988625	0.254397559578577	23.3410036626243	1.70089572517448e-120	6.39722344926534e-118
ENSMUSG00000015468.14	463.314793464507	5.99872086839863	0.258646632082902	23.192727545263	5.39158792438882e-119	1.99161406792691e-116
ENSMUSG00000005968.14	900.316944439272	2.82747928455647	0.12215949562265	23.1458002519145	1.60246590472287e-118	5.81554556229778e-116
ENSMUSG00000063011.7	8462.77193962503	1.94810610675271	0.0841758038259794	23.1433026856521	1.6980086746567e-118	6.05603576619801e-116
ENSMUSG00000046410.10	439.970503053735	4.26486287534793	0.185020447368104	23.0507651236128	1.44513956949292e-117	5.06680629398823e-115
ENSMUSG00000041607.17	437.959236282431	5.01684132193963	0.219186525810502	22.8884567762023	6.05461093458367e-116	2.08742802987996e-113
ENSMUSG00000024479.3	745.916951712431	7.47913949971392	0.330506644856202	22.6293165844456	2.23033099419592e-113	7.563381466547e-111
ENSMUSG00000018920.11	363.472990256114	3.70248718454074	0.163936671537268	22.5848624948998	6.10486713018142e-113	2.03685937830537e-110
ENSMUSG00000021118.7	399.469617824208	5.28716033106351	0.235191316829149	22.4802531077467	6.47690516689846e-112	2.12668667115018e-109
ENSMUSG00000030513.14	1227.65487788322	2.47362480086892	0.110091301354694	22.4688487685267	8.37336341223124e-112	2.70642805539712e-109
ENSMUSG00000042377.8	350.236279646502	4.34403843880583	0.193526333312145	22.4467562861287	1.37657568735605e-111	4.38089917979189e-109
ENSMUSG00000020435.17	376.588227054603	4.64764021570351	0.207614286027756	22.3859364623983	5.39600985107736e-111	1.69124029968767e-108
ENSMUSG00000084128.10	455.512350899766	4.29458098085476	0.192040884040417	22.3628473817633	9.05477065878873e-111	2.79562665444334e-108
ENSMUSG00000002799.6	445.830793914721	4.57616169887467	0.207303033796174	22.0747454346186	5.52746747852928e-108	1.68148812148319e-105
ENSMUSG00000026380.10	349.710396489503	4.88242329618154	0.221704785382819	22.0221827316493	1.76552091081633e-107	5.29298051610821e-105
ENSMUSG00000044017.16	438.273095852533	6.25982784247618	0.286330116464948	21.8622753336619	5.94079617923257e-106	1.75559013948007e-103
ENSMUSG00000068876.16	633.905432034325	7.56678652658666	0.346690158723059	21.8257897901022	1.32037107788873e-105	3.84692903059244e-103
ENSMUSG00000025813.14	498.509613757452	3.09687699911279	0.142016420359021	21.8064713311589	2.01425352828013e-105	5.7870622897226e-103
ENSMUSG00000024011.17	380.268688944012	5.16750882876213	0.237090084066288	21.7955501981995	2.5570116862085e-105	7.2458005124533e-103
ENSMUSG00000037411.10	7312.45878450316	-2.11262667537393	0.0969388277049738	-21.7934002854208	2.67993816425332e-105	7.49151363050596e-103
ENSMUSG00000038732.15	746.615592356309	2.98821515450281	0.138105617514341	21.6371731163833	8.02763986797736e-104	2.2141301107864e-101
ENSMUSG00000026110.15	400.943576889431	3.48242317367111	0.161187293324692	21.6048244364783	1.61802469652992e-103	4.40400774637079e-101
ENSMUSG00000056724.15	627.352587982287	3.20061737335076	0.148596205799226	21.5390248770903	6.71045321363433e-103	1.80275889840571e-100
ENSMUSG00000044041.4	962.353518667871	8.68932138788936	0.404123633606297	21.5016412436661	1.50278394337375e-102	3.98546008367043e-100
ENSMUSG00000063727.3	1654.5739871428	-2.42151652109258	0.112918093520195	-21.4448937774485	5.09624623813377e-102	1.33444240103842e-99
ENSMUSG00000033987.16	751.926534566271	4.69054830055641	0.219375203705272	21.3813969005271	1.99080589088231e-101	5.14772633234893e-99
ENSMUSG00000003526.12	343.818500560691	4.92322192758393	0.230676335034625	21.3425530921711	4.5728217682716e-101	1.16781964319094e-98
ENSMUSG00000033644.5	531.956903652374	7.24123628479618	0.341590740881591	21.1985730822437	9.84359183692655e-100	2.48322610656906e-97
ENSMUSG00000022665.15	15843.3899235759	-1.66569587268605	0.0786698633790888	-21.1732396770478	1.68562636296938e-99	4.20106830655237e-97
ENSMUSG00000003279.17	465.771378834167	6.63017273183694	0.313349893030853	21.1590074842761	2.27970719175157e-99	5.61405035340153e-97
ENSMUSG00000044646.15	626.125331079762	3.28213252673335	0.156090227466608	21.0271493610033	3.7023921304691e-98	9.01031571892751e-96
ENSMUSG00000022055.7	421.849421746588	5.57594930283966	0.265481719032243	21.003138457765	6.13929033835998e-98	1.47671348766645e-95
ENSMUSG00000023043.7	431.35535886878	6.15239584487978	0.293885710878637	20.9346545855728	2.58934922382213e-97	6.15669862574536e-95
ENSMUSG00000041439.15	887.380515599408	2.84978132010614	0.136151279674875	20.9309918122792	2.79617651266582e-97	6.57292128875059e-95
ENSMUSG00000000308.14	361.181891292572	6.06350366810121	0.2923944304216	20.7374116509617	1.59268313116962e-95	3.70182508442412e-93
ENSMUSG00000016028.11	379.50657194787	6.33178836686078	0.305615351246255	20.7181620328974	2.37582914669464e-95	5.46071130316948e-93
ENSMUSG00000057963.9	694.731923809628	3.1886341960817	0.15442397080839	20.6485701629715	1.00551978301785e-94	2.28573431115464e-92
ENSMUSG00000017861.11	452.362163904004	3.31921408519518	0.161080894361442	20.6058831393582	2.43045711292103e-94	5.46482998237874e-92
